Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
BiLSTM,0.8055 ± 0.0061,0.8039 ± 0.0091,0.8084 ± 0.0149,0.8060 ± 0.0069,0.8835 ± 0.0062
Transformer,0.7889 ± 0.0073,0.7869 ± 0.0059,0.7923 ± 0.0183,0.7895 ± 0.0093,0.8678 ± 0.0038
